기니의 수도는 코나크리이다,O,X,1,기니,코나크리,기니공화국의 수도 아프리카대륙의 서쪽 끝에서 약간 남쪽에 있는 항구도시이다.
가나의 수도는 반줄이다,O,X,2,가나,아크라,가나의 수도 열대성기후로 고온다습하나 기니만 연안의 항구 중에서는 비교적 살기 좋은 곳으로 알려져 있다.
감비아의 수도는 아크라이다,O,X,2,감비아,반줄,감비아의 수도 감비아강 하구의 세인트메리섬에 있는 무역항이다
그리스의 수도는 아테네이다,O,X,1,그리스,아테네,오래된 역사를 자랑하는 도시로 그리스의 수도이자 최대 도시다.
네팔의 수도는 카트만두이다,O,X,1,네팔,카트만두,세계에서 가장 높은 산 에베레스트에 둘러싸인 네팔의 수도
네덜란드의 수도는 암스테르담이다,O,X,1,네덜란드,암스테르담,자전거가 사람 수보다 많고 하루 평균 25개의 공연이 열리는 유럽에서 가장 힙한 도시
노르웨이의 수도는 코펜하겐이다,O,X,2,노르웨이,오슬로,독특한 예술 세계, 도전의 역사 깔끔한 시가지가 조화된 노르웨이의 수도
나이지리아의 수도는 아부자이다,O,X,1,나이지리아,아부자,나이지리아의 수도 정치와 행정의 중심지이며 나이지리아 중앙부의 인구가 적은 사바나지대에 있다
뉴질랜드의 수도는 웰링턴이다,O,X,1,뉴질랜드,웰링턴,웰링턴은 뉴질랜드 행정의 수도로 북섬과 남섬으로 나뉘어진 영토의 중간 지점인 북섬 최남단에 위치한 도시
대한민국의 수도는 서울이다,O,X,1,대한민국,서울,한반도 중앙에 있으며 한강을 사이에 두고 남북으로 펼쳐져 있다
대만의 수도는 프놈펜이다,O,X,2,대만,타이베이,맛있는 음식과 신비로운 자연 환경이 매력적인 대만의 수도
독일의 수도는 베를린이다,O,X,1,독일,베를린,아픈 역사의 흔적과 유럽 예술의 트렌드가 공존하는 독일의 수도
덴마크의 수도는 오슬로이다.,O,X,2,덴마크,코펜하겐, 북유럽을 연결하는 교통의 최중심지이자 아기자기 아름다운 850살의 젊은 도시
루마니아의 수도는 빌뉴스이다,O,X,2,루마니아,부쿠레슈티,거대한 건축물 인민궁전이 있는 루마니아의 수도
리투아니아의 수도는 부쿠레슈티이다,O,X,2,리투아니아,빌뉴스,중세 구시가지에서 볼 수 있는 바로크 양식의 건축물로 유명한 리투아니아의 수도
라오스의 수도는 네피도이다,O,X,2,라오스,비엔티안,야시장과 레스토랑이 발달된 라오스의 수도
러시아의 수도는 브뤼셀이다,O,X,2,러시아,모스크바,러시아의 수도이자 정치·경제·문화의 중심지
모로코의 수도는 로메이다,O,X,2,모로코,라바트,흔히 모로코의 수도를 카사블랑카로 알고 있는 사람이 많은데, 카사블랑카는 최대도시일 뿐 수도가 아니다.
멕시코의 수도는 멕시코시티이다,O,X,1,멕시코,멕시코시티,멕시코 중부 고원 해발 2,240m에 자리 잡은 메트로폴리탄 도시
미얀마의 수도는 비엔티안이다,O,X,2,미얀마,네피도,네피도는 2005년에 수도로 지정된 계획도시로, 박물관과 공원, 호텔과 주요 관공서가 지속적으로 건설되고 있는 곳
미국의 수도는 워싱턴D.C이다,O,X,1,미국,워싱턴D.C.,미국 어느 주에도 속하지 않는 독립 행정 구역이자 정치적 영향력 있는 국제적 도시
모나코의 수도는 모나코이다,O,X,1,모나코,모나코,프랑스 지중해 동부해안에 위치한 도시국가
몰도바의 수도는 키시너우이다,O,X,1,몰도바,키시너우,키시너우는 몰도바 중부에 위치한 몰도바공화국의 수도이다 키시너우는 몰도바의 정치·문화·상업의 중심이고 교통의 허브이다.
벨기에의 수도는 모스크바이다,O,X,2,벨기에,브뤼셀,유럽 철도 교통의 허브
바레인의 수도는 마나마이다,O,X,1,바레인,마나마,페르시아 만에 있는 바레인 섬 북쪽 연안에 있다 지명은 아랍 어로 침실이 있는 곳 휴식의 장소라는 뜻이다
방글라데시의 수도는 다카이다,O,X,1,방글라데시,다카,방글라데시의 수도로서 국토 중앙부 부리강가강 북쪽에 면하는 위치를 점하며 방글라데시 상공업·행정·문화의 중심지를 이루고 있다
부탄의 수도는 예레반이다,O,X,2,부탄,팀푸,부탄의 수도이자 부탄에서 가장 큰 도시로 남아시아 불교의 중심지이며 13세기에 건설된 불교 사원을 비롯해 많은 문화유적이 산재하는 오래된 도시이다.
북한의 수도는 개성이다,O,X,2,북한,평양,한반도 이북 최대 도시 이며 혁명의 수도라고 부른다.
베트남의 수도는 테헤란이다,O,X,2,베트남,하노이,베트남의 수도로 정치, 경제, 사회, 문화의 중심지이자 과거와 현재가 공존하는 곳이다.
일본의 수도는 도쿄이다,O,X,1,일본,도쿄,신구의 조화가 절묘한 도시
중국의 수도는 베이징이다,O,X,1,중국,베이징,천년고도(千年古都)라 불릴 만큼 도시 전체가 박물관이자 유적지인 도시
필리핀의 수도는 뉴델리이다,O,X,2,필리핀,마닐라,필리핀의 수도로 스페인 점령기의 문화가 남아 있으며 상업과 금융이 발달해 있다.
브라질의 수도는 브라질리아이다,O,X,1,브라질,브라질리아,브라질의 수도 도시 전체가 1987년 유네스코 세계문화유산으로 지정되었다 브라질의 수도 브라질리아는 계획도시로 날개를 편 거대한 제트기 모양을 하고 있다
베냉의 수도는 포르토노보이다,O,X,1,베냉,포르토노보,베냉의 수도 나이지리아의 수도인 라고스로 통하는 우에메 석호의 북안 기니만 연안에서 10km 가량 내륙 쪽에 위치하고 있다.
벨라루스의 수도는 류블랴나이다,O,X,2,벨라루스,민스크,벨라루스의 수도이자 민스크주의 주도 벨라루스의 수도 언어는 벨라루스어와 러시아어를 공용어로 사용한다.
스페인의 수도는 마드리드이다,O,X,1,스웨인,마드리드,스페인의 정치·문화·예술을 이끄는 수도
